Dataset,RulesFrom,Model,Accuracy (%),Precision (%),Recall (%),F1 Score (%),Balanced Accuracy (%),MCC (%),Error Rate (%),AUC (%),Time Training (s)
adult,DT,EBM,82.8036235221864,73.81203801478352,44.49395289624443,55.52025416997617,69.73787082286928,47.90966901820312,17.1963764778136,82.55921457848021,1.5119569301605225
adult,DT,EBMLASSO,82.94180869031167,73.92670157068063,45.025510204081634,55.96512088783194,69.99506046098925,48.33346576680449,17.05819130968832,82.98833727120778,1.3272662162780762
adult,DT,FIGS,82.8036235221864,73.81203801478352,44.49395289624443,55.52025416997617,69.73787082286928,47.90966901820312,17.1963764778136,82.55921457848021,3.837754726409912
adult,DT,GAM,82.91110087517272,73.8719832109129,44.89795918367347,55.85085283617613,69.93128495078517,48.22115682049684,17.08889912482727,83.40108540888549,0.8016729354858398
adult,DT,SLIM,72.36296637494243,46.18421052631579,89.54081632653062,60.9375,78.22844658591444,48.38201690624113,27.637033625057573,78.22844658591444,0.2087941169738769
adult,DT,TREEGAM,82.8036235221864,73.81203801478352,44.49395289624443,55.52025416997617,69.73787082286928,47.90966901820312,17.1963764778136,82.55921457848021,7.093825101852417
adult,RF,EBM,79.68678028558269,68.84498480243161,28.83513685550605,40.64602960969045,62.3435093423625,35.04545576065062,20.31321971441732,81.42457600463273,7.624435901641846
adult,RF,EBMLASSO,80.16275142023646,69.88472622478386,30.931122448979597,42.88240495137047,63.35231552175976,37.00316270818125,19.837248579763543,81.41477812055054,13.088937997817991
adult,RF,FIGS,79.68678028558269,68.7311178247734,28.962444302991724,40.75235109717868,62.38692834332104,35.07430225424954,20.31321971441732,81.5356608974737,6.874300956726074
adult,RF,GAM,78.67342238599724,65.24701873935264,24.426020408163264,35.54524361948956,60.15032061864179,30.308612774127404,21.32657761400276,78.82466055178392,0.7609143257141113
adult,RF,SLIM,71.41102410563488,45.10652463382157,86.41581632653062,59.27384076990376,76.53450068095995,45.51509401500153,28.58897589436512,76.49922102309074,0.3790168762207031
adult,RF,TREEGAM,79.61001074773529,67.8939617083947,29.34436664544876,40.97777777777778,62.4665985392359,34.905939638379735,20.389989252264705,81.42542609483246,54.87766194343567
breast_cancer,DT,EBM,95.6140350877193,97.14285714285714,95.77464788732394,96.45390070921984,95.56174254831312,90.72320103372488,4.385964912280704,98.44415329184407,0.3747220039367676
breast_cancer,DT,EBMLASSO,92.98245614035088,98.48484848484848,90.2777777777778,94.20289855072464,93.9484126984127,85.87593858469221,7.017543859649122,97.20568783068782,0.6016390323638916
breast_cancer,DT,FIGS,95.6140350877193,97.14285714285714,95.77464788732394,96.45390070921984,95.56174254831312,90.72320103372488,4.385964912280704,98.44415329184407,3.56707501411438
breast_cancer,DT,GAM,91.2280701754386,100.0,86.11111111111111,92.53731343283582,93.05555555555556,83.39741126155059,8.771929824561408,98.31349206349206,0.0227282047271728
breast_cancer,DT,SLIM,91.2280701754386,100.0,86.11111111111111,92.53731343283582,93.05555555555556,83.39741126155059,8.771929824561408,93.05555555555556,0.0190279483795166
breast_cancer,DT,TREEGAM,95.6140350877193,97.14285714285714,95.77464788732394,96.45390070921984,95.56174254831312,90.72320103372488,4.385964912280704,98.44415329184407,4.571122884750366
breast_cancer,RF,EBM,97.36842105263158,98.57142857142858,97.1830985915493,97.87234042553192,97.42875859810025,94.4408304075008,2.631578947368418,99.75433999344908,3.562298059463501
breast_cancer,RF,EBMLASSO,93.859649122807,95.77464788732394,94.44444444444444,95.1048951048951,93.65079365079364,86.8859654660177,6.140350877192979,97.50330687830689,12.6962149143219
breast_cancer,RF,FIGS,95.6140350877193,95.83333333333334,97.1830985915493,96.5034965034965,95.10317720275138,90.63785942932302,4.385964912280704,98.1002292826728,3.7995927333831783
breast_cancer,RF,GAM,92.98245614035088,97.05882352941175,91.66666666666666,94.28571428571428,93.45238095238096,85.44784126535336,7.017543859649122,96.494708994709,0.0310809612274169
breast_cancer,RF,SLIM,92.10526315789474,94.3661971830986,93.05555555555556,93.7062937062937,91.76587301587304,83.13407150271239,7.8947368421052655,93.91534391534393,0.6223559379577637
breast_cancer,RF,TREEGAM,97.36842105263158,97.2222222222222,98.59154929577466,97.9020979020979,96.97019325253848,94.38975339262832,2.631578947368418,99.72158532590896,22.727769136428837
compas,DT,EBM,98.96049896049897,98.24561403508773,99.35483870967742,98.79711307137129,99.00913259906714,97.88675335217734,1.039501039501034,99.31838670481716,0.6540858745574951
compas,DT,EBMLASSO,98.54469854469856,97.57942511346444,99.23076923076924,98.39816933638444,98.60655737704916,97.07648081902028,1.4553014553014498,98.96207197594336,1.1557128429412842
compas,DT,FIGS,98.96049896049897,98.24561403508773,99.35483870967742,98.79711307137129,99.00913259906714,97.88675335217734,1.039501039501034,99.31838670481716,3.769755125045776
compas,DT,GAM,98.82189882189884,97.73755656108597,99.6923076923077,98.7052551408987,98.90037831021438,97.64082068901304,1.1781011781011763,99.04646425453488,0.4326121807098388
compas,DT,SLIM,98.82189882189884,97.73755656108597,99.6923076923077,98.7052551408987,98.90037831021438,97.64082068901304,1.1781011781011763,98.90037831021438,0.0526208877563476
compas,DT,TREEGAM,98.96049896049897,98.24561403508773,99.35483870967742,98.79711307137129,99.00913259906714,97.88675335217734,1.039501039501034,99.31838670481716,3.8921148777008057
compas,RF,EBM,95.7033957033957,95.2922077922078,94.6774193548387,94.98381877022652,95.57686277583976,91.22777335532408,4.2966042966043005,98.2441304433034,3.716130018234253
compas,RF,EBMLASSO,95.35689535689536,95.1937984496124,94.46153846153848,94.82625482625484,95.27616645649432,90.61740320402173,4.643104643104645,97.97526433213696,3.9374840259552
compas,RF,FIGS,95.63409563409564,95.43230016313214,94.35483870967742,94.8905109489051,95.47632579469293,91.08394737452082,4.365904365904361,97.92076588405912,4.214404106140137
compas,RF,GAM,95.01039501039502,95.58359621451103,93.23076923076924,94.39252336448598,94.8499369482976,89.9220532205489,4.98960498960499,95.9934038219032,0.1457259654998779
compas,RF,SLIM,95.91129591129592,95.6723338485317,95.23076923076924,95.45104086353122,95.8499369482976,91.73885940446202,4.088704088704088,96.47191774177902,0.2371859550476074
compas,RF,TREEGAM,94.73319473319474,95.1827242524917,92.41935483870968,93.78068739770868,94.44783051777526,89.24421679961047,5.266805266805264,98.04736800846626,29.75716209411621
fico,DT,EBM,68.83365200764818,71.1031175059952,59.06374501992032,64.52665941240478,68.45650486290134,37.66495174177935,31.166347992351817,72.00691718420435,0.6652588844299316
fico,DT,EBMLASSO,69.93307839388146,73.51077313054499,57.99999999999999,64.84069312465064,69.43040293040292,40.05091220593236,30.066921606118548,73.94244505494505,1.1823492050170898
fico,DT,FIGS,68.83365200764818,71.1031175059952,59.06374501992032,64.52665941240478,68.45650486290134,37.66495174177935,31.166347992351817,72.00691718420435,4.313991069793701
fico,DT,GAM,70.21988527724665,72.46722288438617,60.8,66.12289287656336,69.82307692307693,40.40693092161749,29.780114722753343,73.59743589743589,0.1883440017700195
fico,DT,SLIM,70.21988527724665,72.46722288438617,60.8,66.12289287656336,69.82307692307693,40.40693092161749,29.780114722753343,69.82307692307693,0.0812149047851562
fico,DT,TREEGAM,68.83365200764818,71.1031175059952,59.06374501992032,64.52665941240478,68.45650486290134,37.66495174177935,31.166347992351817,72.00691718420435,5.479454040527344
fico,RF,EBM,67.39961759082217,66.13226452905812,65.73705179282868,65.93406593406593,67.33543766112022,34.679448207627814,32.60038240917782,73.22909648172016,3.362877130508423
fico,RF,EBMLASSO,68.97705544933078,68.26222684703434,65.60000000000001,66.90464048954615,68.83479853479854,37.75802743698988,31.02294455066922,74.77239010989011,3.4862937927246094
fico,RF,FIGS,68.11663479923517,67.24667349027635,65.43824701195219,66.3301362948006,68.01324115303493,36.076005743136925,31.883365200764825,73.59514149285211,5.2454609870910645
fico,RF,GAM,70.21988527724665,68.94472361809045,68.60000000000001,68.77192982456141,70.15164835164836,40.312249822589976,29.780114722753343,72.72857142857143,0.1871938705444336
fico,RF,SLIM,70.21988527724665,68.94472361809045,68.60000000000001,68.77192982456141,70.15164835164836,40.312249822589976,29.780114722753343,73.25146520146521,1.0889461040496826
fico,RF,TREEGAM,67.25621414913958,66.25891946992864,64.7410358565737,65.4911838790932,67.15912086946332,34.356965597587575,32.74378585086042,72.72111004511365,35.62713003158569
german,DT,EBM,73.5,56.25,45.76271186440678,50.467289719626166,65.4345474215651,32.96226484964389,26.5,76.61377569419402,0.3164472579956054
german,DT,EBMLASSO,70.0,0.0,0.0,0.0,50.0,0.0,30.000000000000004,71.08928571428572,0.5552577972412109
german,DT,FIGS,73.5,56.25,45.76271186440678,50.467289719626166,65.4345474215651,32.96226484964389,26.5,74.45005409304002,3.5625178813934326
german,DT,GAM,73.0,56.00000000000001,46.66666666666666,50.90909090909091,65.47619047619048,32.756920994133026,27.0,73.39285714285714,0.0344359874725341
german,DT,SLIM,73.0,56.00000000000001,46.66666666666666,50.90909090909091,65.47619047619048,32.756920994133026,27.0,65.47619047619048,0.0218820571899414
german,DT,TREEGAM,70.5,0.0,0.0,0.0,50.0,0.0,29.500000000000004,76.61377569419402,4.807120323181152
german,RF,EBM,72.5,55.88235294117647,32.20338983050847,40.86021505376344,60.78254597908403,26.181430632013495,27.500000000000004,78.83159033537683,1.9677050113677976
german,RF,EBMLASSO,70.0,0.0,0.0,0.0,50.0,0.0,30.000000000000004,72.875,1.853945255279541
german,RF,FIGS,75.0,63.63636363636363,35.59322033898305,45.65217391304348,63.54129102055536,33.27441463319894,25.0,75.81440076932323,3.801821231842041
german,RF,GAM,70.0,0.0,0.0,0.0,50.0,0.0,30.000000000000004,66.5595238095238,0.0350069999694824
german,RF,SLIM,70.5,51.51515151515152,28.33333333333333,36.55913978494624,58.45238095238094,20.87053085893,29.500000000000004,58.94047619047619,0.9254941940307616
german,RF,TREEGAM,72.0,100.0,5.084745762711865,9.67741935483871,52.54237288135594,19.07704327118717,28.000000000000004,79.46868614016108,2.144372940063477
heart,DT,EBM,83.60655737704919,77.5,96.875,86.11111111111111,82.92025862068965,69.20342342419846,16.393442622950815,89.97844827586208,0.3746111392974853
heart,DT,EBMLASSO,73.77049180327869,67.3469387755102,100.0,80.48780487804879,71.42857142857143,53.7242717595436,26.22950819672131,86.09307359307358,0.3710291385650635
heart,DT,FIGS,78.68852459016394,78.78787878787878,81.25,80.0,78.55603448275862,57.23555466420381,21.311475409836067,89.97844827586208,3.69245719909668
heart,DT,GAM,77.04918032786885,70.2127659574468,100.0,82.5,75.0,59.25063964103966,22.95081967213115,81.22294372294373,0.0279197692871093
heart,DT,SLIM,70.49180327868852,72.72727272727273,72.72727272727273,72.72727272727273,70.29220779220779,40.58441558441558,29.508196721311474,70.29220779220779,0.0207750797271728
heart,DT,TREEGAM,78.68852459016394,78.78787878787878,81.25,80.0,78.55603448275862,57.23555466420381,21.311475409836067,89.97844827586208,3.69920825958252
heart,RF,EBM,88.52459016393442,87.87878787878788,90.625,89.23076923076924,88.41594827586206,76.99801976524022,11.475409836065577,90.94827586206895,5.218029022216797
heart,RF,EBMLASSO,75.40983606557377,72.5,87.87878787878788,79.45205479452055,74.2965367965368,50.96484554419892,24.59016393442624,85.71428571428572,2.461963891983032
heart,RF,FIGS,85.24590163934425,84.84848484848484,87.5,86.15384615384616,85.12931034482759,70.41053139822809,14.754098360655744,90.4094827586207,3.893753051757813
heart,RF,GAM,83.60655737704919,79.48717948717949,93.93939393939394,86.11111111111111,82.68398268398269,67.8355435247432,16.393442622950815,83.06277056277057,0.0222339630126953
heart,RF,SLIM,78.68852459016394,77.77777777777779,84.84848484848484,81.15942028985508,78.13852813852814,57.02248022984665,21.311475409836067,86.85064935064936,1.3297808170318604
heart,RF,TREEGAM,85.24590163934425,84.84848484848484,87.5,86.15384615384616,85.12931034482759,70.41053139822809,14.754098360655744,92.34913793103448,9.690288066864014
loan,DT,EBM,95.90163934426228,93.87040280210157,100.0,96.8383017163505,94.49685534591194,91.39953757812565,4.098360655737709,99.47080634563036,5.564352035522461
loan,DT,EBMLASSO,96.4871194379391,94.6524064171123,100.0,97.25274725274726,95.3560371517028,92.66129787513896,3.512880562060894,99.3155037810545,0.7001128196716309
loan,DT,FIGS,95.90163934426228,93.87040280210157,100.0,96.8383017163505,94.49685534591194,91.39953757812565,4.098360655737709,99.47080634563036,4.216114044189453
loan,DT,GAM,96.4871194379391,94.6524064171123,100.0,97.25274725274726,95.3560371517028,92.66129787513896,3.512880562060894,99.31696139651224,0.2128901481628418
loan,DT,SLIM,96.4871194379391,94.6524064171123,100.0,97.25274725274726,95.3560371517028,92.66129787513896,3.512880562060894,95.56068636196676,0.0501821041107177
loan,DT,TREEGAM,95.90163934426228,93.87040280210157,100.0,96.8383017163505,94.49685534591194,91.39953757812565,4.098360655737709,99.47080634563036,4.962889909744263
loan,RF,EBM,97.18969555035127,96.88644688644688,98.69402985074626,97.7818853974122,96.67405895053037,93.97878831714849,2.810304449648715,99.4822467849432,6.69745397567749
loan,RF,EBMLASSO,96.01873536299766,93.98230088495576,100.0,96.8978102189781,94.73684210526316,91.70028740826932,3.9812646370023455,99.43357063312985,6.249767780303955
loan,RF,FIGS,97.423887587822,97.06959706959708,98.88059701492536,97.96672828096118,96.92457523702244,94.48320592272226,2.576112412177989,99.40099033136208,4.241376161575317
loan,RF,GAM,96.4871194379391,94.6524064171123,100.0,97.25274725274726,95.3560371517028,92.66129787513896,3.512880562060894,98.72400342831156,0.2043521404266357
loan,RF,SLIM,97.423887587822,97.39292364990688,98.49340866290018,97.94007490636704,97.0795216689114,94.51348672430773,2.576112412177989,98.04533767119692,0.5837662220001221
loan,RF,TREEGAM,96.37002341920376,97.37335834896813,96.82835820895522,97.1000935453695,96.2129212428424,92.25146083480334,3.629976580796257,99.4332582371163,27.422725915908813
magic_gamma,DT,EBM,79.67928496319664,77.34197730956241,96.9918699186992,86.0595130748422,72.4914706736353,54.91904900274067,20.32071503680336,80.63077695509098,1.248223066329956
magic_gamma,DT,EBMLASSO,79.33753943217665,77.23735408560312,96.59367396593674,85.83783783783784,72.06365312646614,53.79087101870261,20.66246056782335,79.63096316178049,0.9695382118225098
magic_gamma,DT,FIGS,79.67928496319664,77.34197730956241,96.9918699186992,86.0595130748422,72.4914706736353,54.91904900274067,20.32071503680336,80.63077695509098,4.017059087753296
magic_gamma,DT,GAM,79.20609884332282,76.78285897025904,97.36415247364152,85.85732165206508,71.55203139377144,53.81266798741427,20.793901156677187,78.7771237408729,0.4049720764160156
magic_gamma,DT,SLIM,79.20609884332282,76.78285897025904,97.36415247364152,85.85732165206508,71.55203139377144,53.81266798741427,20.793901156677187,71.55203139377144,0.137265920639038
magic_gamma,DT,TREEGAM,79.67928496319664,77.34197730956241,96.9918699186992,86.0595130748422,72.4914706736353,54.91904900274067,20.32071503680336,80.63077695509098,6.154922008514404
magic_gamma,RF,EBM,79.73186119873817,78.19699499165276,95.20325203252033,85.86617781851513,73.3084712543554,54.45506735413949,20.268138801261827,84.62859623015872,4.647618055343628
magic_gamma,RF,EBMLASSO,79.94216614090432,78.43071786310517,95.25547445255476,86.02819996337668,73.48722900505167,54.816802164378096,20.057833859095688,84.53727040516344,7.7537736892700195
magic_gamma,RF,FIGS,80.31019978969506,78.46921797004993,95.85365853658536,86.29460201280878,73.85688879210221,55.99063099450638,19.68980021030494,84.86059693186218,5.16907000541687
magic_gamma,RF,GAM,78.04942166140904,75.94654788418708,96.79643146796433,85.11321091103584,70.14709465774898,50.78016353432309,21.950578338590955,77.98797578305614,0.4009590148925781
magic_gamma,RF,SLIM,79.23238696109358,77.60210803689066,95.53933495539336,85.6415848782261,72.35860619219594,53.19463356406248,20.76761303890642,72.35860619219594,0.689054012298584
magic_gamma,RF,TREEGAM,79.91587802313354,78.15405046480744,95.6910569105691,86.03801169590643,73.36636178861788,55.01716475081994,20.08412197686645,84.53265643147503,41.20569324493408
mushroom,DT,EBM,94.4,97.95918367346938,91.10320284697508,94.40688383527966,94.52858352067425,89.04919759298059,5.600000000000005,94.78054567022538,0.9787449836730956
mushroom,DT,EBMLASSO,95.50769230769232,97.52781211372064,93.70546318289786,95.57843731072076,95.57559238327524,91.09193016072147,4.492307692307696,96.28810561728902,0.8295810222625732
mushroom,DT,FIGS,94.4,97.95918367346938,91.10320284697508,94.40688383527966,94.52858352067425,89.04919759298059,5.600000000000005,94.78054567022538,3.787811994552612
mushroom,DT,GAM,95.07692307692308,98.3502538071066,92.04275534441804,95.0920245398773,95.19123718689612,90.3639727105058,4.923076923076919,95.6255706931438,0.1657531261444091
mushroom,DT,SLIM,94.2153846153846,96.63341645885288,92.04275534441804,94.2822384428224,94.29723974117454,88.54345940373291,5.784615384615388,95.1200996229254,0.0578012466430664
mushroom,DT,TREEGAM,94.4,97.95918367346938,91.10320284697508,94.40688383527966,94.52858352067425,89.04919759298059,5.600000000000005,94.62126797183365,5.280279159545898
mushroom,RF,EBM,93.53846153846152,92.12328767123287,95.72953736654804,93.89179755671904,93.45300397739167,87.11120130014875,6.461538461538464,98.23383786440462,3.482002019882202
mushroom,RF,EBMLASSO,95.44615384615383,93.93592677345538,97.5059382422803,95.68764568764568,95.36855021947986,90.93815503964572,4.553846153846153,98.50391180762216,2.615081787109375
mushroom,RF,FIGS,95.07692307692308,92.81705948372615,98.10201660735468,95.38638985005768,94.95893669242416,90.27683168511406,4.923076923076919,98.6259643885405,4.713502883911133
mushroom,RF,GAM,91.44615384615383,92.70959902794654,90.61757719714964,91.65165165165166,91.47737097405376,82.9069696999888,8.553846153846155,96.07173518017976,0.1393089294433593
mushroom,RF,SLIM,93.9076923076923,89.47927736450585,100.0,94.4475602916433,93.67816091954025,88.41142771939677,6.092307692307697,95.48450899912936,0.4006168842315674
mushroom,RF,TREEGAM,93.2923076923077,90.24122807017544,97.62752075919336,93.7891737891738,93.1232232951977,86.83927533451372,6.707692307692303,97.50267738226344,29.475597143173218
spambase,DT,EBM,85.01628664495115,93.75,69.23076923076923,79.64601769911505,82.92046936114733,70.17420146153457,14.983713355048856,83.52020860495436,0.6658148765563965
spambase,DT,EBMLASSO,85.66775244299674,94.2528735632184,67.76859504132231,78.84615384615384,82.54021149915577,70.5713714802489,14.332247557003251,82.86382890488464,1.1919658184051514
spambase,DT,FIGS,85.01628664495115,93.75,69.23076923076923,79.64601769911505,82.92046936114733,70.17420146153457,14.983713355048856,83.52020860495436,3.9902310371398926
spambase,DT,GAM,84.79913137893594,90.84249084249085,68.31955922865014,77.9874213836478,81.91963624514943,68.3108225296701,15.200868621064055,81.80040877988091,0.0840210914611816
spambase,DT,SLIM,84.79913137893594,90.84249084249085,68.31955922865014,77.9874213836478,81.91963624514943,68.3108225296701,15.200868621064055,81.91963624514943,0.040144920349121
spambase,DT,TREEGAM,85.01628664495115,93.75,69.23076923076923,79.64601769911505,82.92046936114733,70.17420146153457,14.983713355048856,82.6510212950891,5.558078050613403
spambase,RF,EBM,86.75352877307276,92.94871794871796,74.35897435897436,82.62108262108262,85.10792409097493,73.30418457165598,13.246471226927248,92.12371432710415,5.207419157028198
spambase,RF,EBMLASSO,86.10206297502715,90.37800687285224,72.45179063360881,80.42813455657493,83.71693474332771,70.88130810860788,13.897937024972853,90.57387165891564,2.557934284210205
spambase,RF,FIGS,87.94788273615634,93.18885448916409,77.17948717948718,84.43197755960729,86.51818050123134,75.62525246004752,12.052117263843654,92.18552320247235,4.138413190841675
spambase,RF,GAM,83.82193268186754,83.64779874213836,73.27823691460054,78.12041116005874,81.97962024941496,65.73573056238351,16.17806731813246,83.8460361187634,0.0743408203125
